               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.030914,            0.019983,           0.0060912,             0.94422,             0.90537,             0.93998,             0.58813,            0.027665,            0.013217,           0.0052634,            0.004184,            0.004184,            0.004184
                  67,            0.031097,            0.020063,            0.006397,             0.93743,             0.89831,             0.93753,             0.57857,            0.027813,            0.013246,           0.0053445,            0.004073,            0.004073,            0.004073
                  68,            0.030706,             0.01962,           0.0062274,             0.93516,             0.90277,             0.94121,             0.59559,            0.027158,            0.012953,           0.0052117,           0.0039638,           0.0039638,           0.0039638
                  69,            0.030678,            0.019445,           0.0062466,             0.94568,               0.907,             0.93996,             0.58882,            0.027023,             0.01289,           0.0051767,           0.0038567,           0.0038567,           0.0038567
                  70,            0.030391,            0.019156,           0.0061469,             0.91766,             0.90145,             0.93307,             0.56594,            0.026958,            0.012869,           0.0051678,           0.0037517,           0.0037517,           0.0037517
                  71,            0.030361,            0.019277,           0.0061266,             0.94179,              0.9067,             0.94125,             0.59369,            0.027092,            0.012934,           0.0051695,           0.0036489,           0.0036489,           0.0036489
                  72,            0.030337,            0.019318,           0.0060254,             0.94721,             0.90655,             0.94269,             0.59247,            0.027084,            0.012959,           0.0051729,           0.0035484,           0.0035484,           0.0035484
                  73,            0.029833,            0.019051,           0.0059618,             0.94451,             0.90587,             0.94028,              0.5923,            0.026998,            0.012792,           0.0051415,           0.0034503,           0.0034503,           0.0034503
                  74,            0.029839,            0.019163,           0.0059016,              0.9416,             0.91476,             0.94647,             0.60045,            0.026673,            0.012697,           0.0050536,           0.0033548,           0.0033548,           0.0033548
                  75,            0.029732,            0.018913,           0.0059358,             0.94297,             0.91683,             0.94849,             0.60961,             0.02658,            0.012655,           0.0050692,           0.0032618,           0.0032618,           0.0032618
                  76,             0.02928,            0.018639,           0.0057676,             0.94487,             0.91637,             0.94638,             0.60626,            0.026475,            0.012581,           0.0050535,           0.0031716,           0.0031716,           0.0031716
                  77,            0.029676,            0.018728,           0.0060359,             0.94417,             0.91004,             0.94467,              0.6087,            0.026299,            0.012473,           0.0050078,           0.0030841,           0.0030841,           0.0030841
                  78,            0.029777,            0.018851,            0.005896,             0.94806,             0.92245,             0.94942,              0.6134,            0.026244,             0.01243,            0.005014,           0.0029996,           0.0029996,           0.0029996
                  79,            0.029303,             0.01882,           0.0058279,             0.95413,             0.92144,             0.94899,             0.61629,            0.026057,            0.012376,           0.0049842,           0.0029179,           0.0029179,           0.0029179
                  80,            0.029403,            0.018724,           0.0059738,             0.94316,             0.92064,             0.94953,              0.6158,            0.026235,            0.012389,           0.0050064,           0.0028394,           0.0028394,           0.0028394
                  81,            0.029431,            0.018857,           0.0058562,             0.94272,             0.92346,             0.95338,             0.61326,            0.026058,            0.012404,            0.004924,           0.0027639,           0.0027639,           0.0027639
                  82,            0.029054,            0.018764,           0.0057653,             0.94789,             0.92468,             0.95323,             0.61383,             0.02602,            0.012394,           0.0049479,           0.0026917,           0.0026917,           0.0026917
                  83,            0.028819,            0.018863,           0.0057304,               0.951,             0.92437,             0.95358,             0.62304,            0.025819,            0.012197,           0.0048926,           0.0026227,           0.0026227,           0.0026227
                  84,            0.028857,            0.018256,           0.0057347,             0.94676,             0.91377,             0.94711,             0.61317,            0.026414,            0.012541,           0.0049402,            0.002557,            0.002557,            0.002557
                  85,             0.02877,             0.01825,           0.0056847,             0.95364,             0.92593,             0.95616,             0.62251,            0.025742,            0.012207,           0.0048792,           0.0024948,           0.0024948,           0.0024948
                  86,            0.028671,            0.018187,           0.0056259,             0.95349,             0.92251,             0.95728,             0.61705,            0.025777,            0.012285,           0.0048715,            0.002436,            0.002436,            0.002436
                  87,             0.02876,            0.018353,           0.0058145,              0.9435,             0.93052,              0.9556,             0.62956,            0.025525,            0.012157,           0.0048494,           0.0023807,           0.0023807,           0.0023807
                  88,            0.028619,            0.018498,           0.0056739,             0.95078,             0.92798,             0.95369,             0.61615,            0.025611,            0.012156,           0.0048568,            0.002329,            0.002329,            0.002329
                  89,            0.028288,            0.018044,           0.0054693,             0.95731,             0.92328,             0.95632,             0.63393,            0.025405,            0.012086,           0.0048413,           0.0022809,           0.0022809,           0.0022809
                  90,            0.028317,            0.018137,           0.0056672,             0.93976,             0.93381,             0.95634,             0.62994,            0.025457,            0.012117,           0.0048271,           0.0022365,           0.0022365,           0.0022365
                  91,            0.028252,            0.018133,           0.0055335,             0.95176,             0.93086,             0.95773,             0.63057,            0.025539,            0.012057,           0.0048431,           0.0021958,           0.0021958,           0.0021958
                  92,            0.028381,              0.0184,           0.0056166,             0.94877,              0.9346,             0.95873,             0.63784,              0.0251,            0.011929,           0.0047845,           0.0021588,           0.0021588,           0.0021588
                  93,             0.02843,            0.018029,           0.0057816,              0.9516,             0.93378,             0.95916,             0.63195,            0.025393,            0.012036,           0.0047865,           0.0021257,           0.0021257,           0.0021257
                  94,            0.028375,            0.018041,           0.0055578,             0.95605,             0.93354,             0.96081,              0.6329,            0.025199,            0.011985,           0.0047742,           0.0020963,           0.0020963,           0.0020963
                  95,             0.02842,            0.018374,           0.0056976,             0.95753,             0.92851,             0.95952,             0.64349,            0.025048,            0.011926,            0.004749,           0.0020709,           0.0020709,           0.0020709
                  96,            0.028163,            0.018047,           0.0055454,             0.95259,             0.93624,             0.95936,             0.63651,            0.025055,             0.01186,           0.0047783,           0.0020492,           0.0020492,           0.0020492
                  97,            0.028106,            0.018087,           0.0056869,             0.95463,             0.93362,             0.96355,             0.64533,            0.024833,            0.011785,           0.0047491,           0.0020315,           0.0020315,           0.0020315
                  98,            0.027912,            0.017643,           0.0055323,             0.95209,             0.93413,             0.96028,             0.64444,            0.024887,            0.011787,           0.0047457,           0.0020178,           0.0020178,           0.0020178
                  99,            0.027859,            0.018055,           0.0054043,             0.95166,             0.94115,             0.96354,             0.64423,            0.024769,            0.011782,           0.0047569,           0.0020079,           0.0020079,           0.0020079
