               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.025435,           0.0042149,          0.00037895,             0.94766,             0.96172,             0.96651,             0.72329,              0.0216,           0.0020873,          0.00042405,           0.0050662,           0.0050662,           0.0050662
                  71,            0.025875,            0.004242,          0.00063065,             0.94249,             0.96738,             0.96929,             0.71428,            0.021804,           0.0020793,          0.00042707,           0.0049647,           0.0049647,           0.0049647
                  72,            0.025762,           0.0041318,          0.00051352,               0.945,             0.95459,             0.96444,             0.70015,            0.022588,           0.0021552,          0.00056007,           0.0048639,           0.0048639,           0.0048639
                  73,            0.025377,           0.0041925,          0.00058919,             0.94158,             0.93078,              0.9406,             0.68494,            0.024201,           0.0024254,          0.00050636,           0.0047639,           0.0047639,           0.0047639
                  74,            0.025746,           0.0042378,          0.00056483,             0.94706,             0.95426,             0.96896,             0.72222,            0.021681,           0.0021733,           0.0004629,           0.0046648,           0.0046648,           0.0046648
                  75,            0.025255,           0.0042164,          0.00059408,             0.94392,             0.95474,             0.96138,             0.72283,            0.021902,           0.0021007,          0.00054206,           0.0045665,           0.0045665,           0.0045665
                  76,            0.025034,           0.0040845,          0.00047504,             0.95876,             0.94291,             0.96661,             0.73136,            0.022166,           0.0021251,          0.00049609,           0.0044693,           0.0044693,           0.0044693
                  77,            0.024934,           0.0040626,          0.00046814,             0.95406,             0.95608,             0.96685,             0.71797,             0.02146,           0.0020624,          0.00049307,           0.0043731,           0.0043731,           0.0043731
                  78,            0.025047,           0.0041883,          0.00049076,             0.95165,             0.95059,             0.95737,             0.70237,            0.022529,           0.0021145,          0.00046221,            0.004278,            0.004278,            0.004278
                  79,            0.024811,            0.003891,          0.00040825,             0.95457,             0.96223,              0.9698,             0.70802,            0.022616,           0.0020615,           0.0005773,            0.004184,            0.004184,            0.004184
                  80,            0.024823,           0.0040244,           0.0005872,             0.94581,             0.96192,             0.96194,             0.72174,            0.021775,           0.0020343,          0.00041876,           0.0040914,           0.0040914,           0.0040914
                  81,            0.024074,           0.0039274,          0.00046271,             0.95513,             0.95623,             0.96392,             0.72489,            0.021952,           0.0020288,          0.00059036,               0.004,               0.004,               0.004
                  82,            0.024811,           0.0040827,          0.00053644,             0.95723,             0.95792,             0.96288,             0.72434,              0.0221,           0.0020499,          0.00050406,             0.00391,             0.00391,             0.00391
                  83,             0.02425,           0.0040114,          0.00048236,             0.94409,             0.96093,             0.96751,               0.733,            0.021544,           0.0020928,          0.00060701,           0.0038214,           0.0038214,           0.0038214
                  84,            0.024199,            0.003922,          0.00045483,             0.95486,             0.94685,             0.96323,             0.74201,            0.021839,              0.0021,          0.00047474,           0.0037344,           0.0037344,           0.0037344
                  85,            0.024152,            0.003871,          0.00036245,               0.951,             0.95374,             0.96857,             0.73679,            0.020917,           0.0019852,          0.00047319,           0.0036489,           0.0036489,           0.0036489
                  86,            0.023616,           0.0038664,           0.0003677,             0.96038,             0.94573,             0.96472,             0.74052,            0.020869,           0.0019985,          0.00070006,            0.003565,            0.003565,            0.003565
                  87,            0.023744,           0.0038977,          0.00051412,             0.94384,             0.96023,             0.96418,             0.74055,            0.021015,           0.0020444,          0.00059134,           0.0034827,           0.0034827,           0.0034827
                  88,            0.023407,           0.0038653,          0.00041922,             0.94498,             0.96847,              0.9639,             0.74016,              0.0214,           0.0020171,          0.00044498,           0.0034022,           0.0034022,           0.0034022
                  89,            0.023455,           0.0038811,           0.0003727,              0.9447,             0.95772,             0.96042,             0.74468,             0.02121,           0.0020742,          0.00030081,           0.0033235,           0.0033235,           0.0033235
                  90,            0.023727,           0.0038612,          0.00050666,             0.93057,             0.94694,             0.95651,              0.7108,            0.021494,           0.0021469,          0.00059651,           0.0032466,           0.0032466,           0.0032466
