               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.022699,            0.013383,            0.014636,              0.9578,             0.95422,             0.98182,              0.8201,            0.010762,           0.0042601,           0.0017565,           0.0042465,           0.0042465,           0.0042465
                  60,            0.022813,            0.013525,            0.015307,             0.95462,             0.95253,             0.98509,             0.82526,            0.010653,           0.0042657,           0.0017907,           0.0041221,           0.0041221,           0.0041221
                  61,            0.022601,            0.013572,            0.015135,             0.96235,             0.96275,              0.9864,             0.82672,             0.01062,           0.0041516,           0.0014187,               0.004,               0.004,               0.004
                  62,            0.022046,            0.013494,              0.0142,             0.96751,             0.96197,             0.98654,             0.83316,            0.010364,           0.0041571,           0.0012547,           0.0038803,           0.0038803,           0.0038803
                  63,            0.022615,            0.013414,            0.014325,             0.96768,              0.9639,             0.98677,             0.83085,            0.010262,           0.0041142,           0.0011833,           0.0037632,           0.0037632,           0.0037632
                  64,            0.021995,            0.013115,            0.012848,             0.97586,             0.96422,             0.98721,             0.83806,            0.010155,            0.004009,           0.0011138,           0.0036489,           0.0036489,           0.0036489
                  65,            0.022073,            0.013012,            0.014055,             0.96666,             0.94958,             0.98631,             0.83108,            0.010141,           0.0041134,           0.0013728,           0.0035374,           0.0035374,           0.0035374
                  66,            0.022019,            0.013323,            0.014153,               0.973,             0.96185,             0.98817,             0.83663,            0.010294,           0.0041025,           0.0011092,           0.0034288,           0.0034288,           0.0034288
                  67,             0.02187,            0.013079,             0.01449,             0.96972,             0.96581,             0.98816,             0.83349,            0.010112,           0.0040604,           0.0010826,           0.0033235,           0.0033235,           0.0033235
                  68,             0.02176,            0.013025,            0.012076,             0.96902,              0.9661,             0.98705,               0.837,            0.010066,           0.0040354,           0.0011081,           0.0032214,           0.0032214,           0.0032214
                  69,            0.020759,            0.012899,            0.012614,             0.96857,             0.95834,             0.98756,             0.83418,            0.010159,           0.0040648,           0.0012846,           0.0031226,           0.0031226,           0.0031226
                  70,             0.02136,            0.013268,            0.014192,             0.97097,              0.9717,             0.98962,             0.84001,            0.010085,            0.003992,          0.00097377,           0.0030274,           0.0030274,           0.0030274
                  71,            0.020731,            0.012793,            0.013407,             0.96955,             0.97377,             0.98957,             0.84023,           0.0098834,           0.0039757,          0.00093483,           0.0029358,           0.0029358,           0.0029358
                  72,            0.021529,            0.012648,            0.012899,             0.97657,             0.96611,             0.98918,             0.84192,           0.0098131,           0.0039269,          0.00093322,            0.002848,            0.002848,            0.002848
                  73,            0.020794,            0.012708,            0.012997,             0.96988,             0.97214,             0.98932,             0.84379,            0.009807,           0.0039371,           0.0009644,           0.0027639,           0.0027639,           0.0027639
                  74,            0.021179,            0.012628,            0.012032,             0.97355,             0.96907,             0.99039,             0.84805,             0.00969,           0.0039107,          0.00084708,           0.0026838,           0.0026838,           0.0026838
                  75,            0.020526,            0.012556,             0.01217,             0.97217,             0.97603,             0.99029,             0.84615,            0.009711,           0.0039129,          0.00082921,           0.0026078,           0.0026078,           0.0026078
                  76,            0.020611,            0.012717,            0.012128,             0.97251,             0.97764,             0.99055,             0.84967,           0.0096783,           0.0038941,          0.00077542,           0.0025359,           0.0025359,           0.0025359
                  77,            0.020689,            0.012366,            0.011498,             0.97923,             0.97477,             0.99083,             0.84804,           0.0096101,           0.0038427,          0.00074869,           0.0024682,           0.0024682,           0.0024682
                  78,            0.020489,            0.012462,             0.01194,             0.97927,             0.97235,             0.99063,             0.85012,            0.009616,           0.0038422,           0.0007373,           0.0024048,           0.0024048,           0.0024048
                  79,            0.020431,            0.012304,            0.011117,              0.9774,             0.97306,             0.99034,             0.85179,           0.0094996,           0.0038451,          0.00073772,           0.0023458,           0.0023458,           0.0023458
                  80,            0.020268,            0.012498,            0.012577,              0.9729,              0.9711,             0.99004,             0.85026,           0.0095696,           0.0038389,          0.00089472,           0.0022913,           0.0022913,           0.0022913
                  81,            0.020561,            0.012519,            0.010948,             0.97961,             0.97085,             0.99083,              0.8504,           0.0094574,            0.003866,          0.00071134,           0.0022412,           0.0022412,           0.0022412
                  82,            0.020041,            0.012328,            0.010852,                0.98,             0.97448,             0.99095,             0.85017,           0.0094746,           0.0038682,          0.00068561,           0.0021958,           0.0021958,           0.0021958
                  83,            0.019884,            0.012388,            0.011047,             0.97978,             0.97724,             0.99097,             0.85158,           0.0094128,           0.0038255,          0.00064911,            0.002155,            0.002155,            0.002155
                  84,            0.019899,            0.012197,           0.0095225,              0.9811,             0.97455,             0.99129,             0.85347,           0.0093646,           0.0038163,          0.00063544,           0.0021188,           0.0021188,           0.0021188
                  85,            0.019888,            0.012025,            0.010237,             0.97882,             0.97751,             0.99083,             0.85502,           0.0093343,           0.0037517,          0.00065567,           0.0020874,           0.0020874,           0.0020874
                  86,            0.019742,            0.012157,            0.010702,             0.97381,             0.98584,             0.99186,             0.85631,            0.009341,           0.0037485,          0.00059757,           0.0020608,           0.0020608,           0.0020608
                  87,            0.019995,            0.012296,            0.010949,             0.97638,             0.98069,             0.99155,             0.85572,           0.0093244,           0.0037587,          0.00062703,           0.0020389,           0.0020389,           0.0020389
                  88,            0.019835,            0.012092,            0.011289,             0.98308,             0.97266,             0.99199,             0.85739,           0.0092235,           0.0037338,          0.00062607,           0.0020219,           0.0020219,           0.0020219
                  89,            0.019993,             0.01206,            0.010166,             0.98129,             0.97675,             0.99193,             0.85845,           0.0091907,           0.0037225,          0.00061535,           0.0020097,           0.0020097,           0.0020097
